# PVC 5% NaOCl day 3
wavenumber,absorbance
4000,0.011
3500,0.013
3000,0.017
2500,0.020
2000,0.022
1800,0.025
1600,0.029
1400,0.027
1200,0.034
1000,0.039
800,0.037
600,0.019
