# Nylon control - water exposure
wavenumber,absorbance
4000,0.014
3500,0.017
3000,0.020
2500,0.022
2000,0.024
1800,0.027
1600,0.032
1400,0.030
1200,0.037
1000,0.042
800,0.040
600,0.022
