# Nylon 5% NaOCl day 3
wavenumber,absorbance
4000,0.015
3500,0.018
3000,0.021
2500,0.023
2000,0.025
1800,0.029
1600,0.034
1400,0.032
1200,0.039
1000,0.044
800,0.042
600,0.024
